nIdPessoa;pediu_para_sair;abs_eventos;abs_qtd_total;horas_previstas_total;acidentes_eventos;acidentes_com_afastamento;acidentes_dias_perdidos;he_eventos;he_referencia_total;he_valor_total;hi_eventos;hi_minutos_irregulares;hi_minutos_extras;mov_sal_eventos;mov_sal_valor_total;mov_sal_perc_medio
57883;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
190111;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;21.0;8532.0;0.0;3.0;120.586818565005;0.0317666666666666
204987;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;9.5;93.38;1.0;494.0;0.0;0.0;0.0;0.0
140163;1;0.0;0.0;0.0;0.0;0.0;0.0;28.0;28.0;368.81;3.0;1262.0;0.0;9.0;420.2429246077956;0.0386555555555555
148429;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
148259;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
141389;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
65499;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;221.164948582135;0.0621
262605;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
261869;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
154684;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
339553;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;7.72;143.28;2.0;904.0;0.0;0.0;0.0;0.0
287817;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
224834;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;2328.0;0.0;1.0;125.60571707408;0.0759
320608;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
327383;1;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.6000000000000001;8.28;3.0;13.0;0.0;3.0;212.2543300816244;0.0482
89346;1;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;38.0;9896.0;0.0;6.0;302.806456698663;0.0350666666666666
107818;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
247956;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
95080;1;0.0;0.0;0.0;0.0;0.0;0.0;11.0;12.67;296.16;15.0;2801.0;0.0;8.0;810.836358689114;0.0539875
197831;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
317066;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.45;6.25;3.0;602.0;0.0;0.0;0.0;0.0
263243;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
240858;0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;11.3;119.86;0.0;0.0;0.0;0.0;0.0;0.0
308056;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;15.15402688544;0.0117
65558;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
260820;1;0.0;0.0;0.0;0.0;0.0;0.0;20.0;49.66;684.57;7.0;3644.0;0.0;3.0;423.789008646446;0.0925333333333333
132446;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
364030;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
381243;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
179156;1;0.0;0.0;0.0;0.0;0.0;0.0;7.0;21.06;313.57;7.0;2223.0;0.0;1.0;55.932307692308;0.04
363390;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;6.38;75.82;0.0;0.0;0.0;0.0;0.0;0.0
258293;1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.3;23.4;15.0;3443.0;0.0;2.0;213.016818485121;0.0815
250381;1;0.0;0.0;0.0;0.0;0.0;0.0;26.0;65.8;1240.34;22.0;8554.0;0.0;6.0;981.875773652615;0.0951333333333333
112802;0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;47.040000000000006;851.41;97.0;18085.0;0.0;4.0;421.355588586449;0.065325
179811;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;547.0;0.0;1.0;41.413971522032;0.0394
277629;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19286;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;192.3906399064;0.09805
